Pustki podziemne w Posądzy,Niecka Nidziańska
Studnia w Szańcu I,Niecka Nidziańska
Studnia w Szańcu II,Niecka Nidziańska
Jaskinia w Marzęcinie,Niecka Nidziańska
Schronisko Stołowe,Niecka Nidziańska
Schronisko Mysia Nora,Niecka Nidziańska
Jaskinia Deszczowa,Niecka Nidziańska
Studnia w Jędrzejowie,Niecka Nidziańska
Sołecka Studnia w Gackach (N-2.6),Niecka Nidziańska
Schronisko Małe (N-2.8),Niecka Nidziańska
Jaskinia w Łatanicach (N-2.56),Niecka Nidziańska
Schron w Małym Żlebku,Tatry
Jaskinia za Filarem,Region Świętokrzyski
Schronisko Niedostępne,Region Świętokrzyski
Schronisko nad Przepaścią,Region Świętokrzyski
Jaskinia Jeleniowska,Region Świętokrzyski
Jaskinia na Kadzielni Górna,Region Świętokrzyski
Jaskinia pod Fałdem,Region Świętokrzyski
Wojtkowa Dziura,Region Świętokrzyski
Jaskinia Pajęcza,Region Świętokrzyski
Schronisko Krótkie w Jaworzni,Region Świętokrzyski
Schronisko nad Chelosiową Jamą,Region Świętokrzyski
Gazownia,Region Świętokrzyski
Lisia Jama w Jaworzni,Region Świętokrzyski
Duża Dziura w Jaworzni,Region Świętokrzyski
Ciasny Kominek,Region Świętokrzyski
Schronisko Pustułek,Region Świętokrzyski
Chelosiowa Jama-Jaskinia Jaworznicka,Region Świętokrzyski
Schronisko Zygmunta,Region Świętokrzyski
Jaskinia na Czerwonej Górze,Region Świętokrzyski
Studnia Gwarków,Region Świętokrzyski
Jaskinia Gwarecka,Region Świętokrzyski
Schronisko Jacka,Region Świętokrzyski
Jaskinia z Prześwitami,Region Świętokrzyski
Schronisko pod Płytą,Region Świętokrzyski
Schronisko na Szczelinie,Region Świętokrzyski
Schronisko Mechate,Region Świętokrzyski
Czyściec,Region Świętokrzyski
Piekło pod Skibami,Region Świętokrzyski
Schronisko Łaszczyńskich,Region Świętokrzyski
Jaskinia w Marzyszu,Region Świętokrzyski
Schronisko Okopcone,Region Świętokrzyski
Jaskinia Wodna,Region Świętokrzyski
Raj,Region Świętokrzyski
Schron Polichniański,Region Świętokrzyski
Jaskinia Nowa na Miedziance,Region Świętokrzyski
Jaskinia w Sztolni Zofia na Miedziance,Region Świętokrzyski
Schronisko Zachodnie na Miedziance,Region Świętokrzyski
Schronisko Zakryte,Region Świętokrzyski
Jaskinia Południowa na Miedziance,Region Świętokrzyski
Schronisko Dwuotworowe na Miedziance,Region Świętokrzyski
Jaskinia Hematytowa,Region Świętokrzyski
Schronisko z Mostem Skalnym,Region Świętokrzyski
Jaskinia Psia,Region Świętokrzyski
Jaskinia w Sztolni Teresa na Miedziance,Region Świętokrzyski
Jaskinia Zbójecka w Łagowie,Region Świętokrzyski
Lisia Dziura w Łagowie,Region Świętokrzyski
Jaskinia Ponurego,Region Świętokrzyski
Jaskinia Dolomitowa,Region Świętokrzyski
Jaskinia Lubańska,Region Świętokrzyski
Schronisko Szklarków,Region Świętokrzyski
Piekło pod Małogoszczem,Region Świętokrzyski
Schronisko Dolne pod Starym Piekłem,Region Świętokrzyski
Stare Piekło,Region Świętokrzyski
Schronisko Górne nad Starym Piekłem,Region Świętokrzyski
Schronisko Ciasne,Region Świętokrzyski
Schronisko Pochyłe,Region Świętokrzyski
Jaskinia Chalcedonitowa I,Region Świętokrzyski
Jaskinia Chalcedonitowa II,Region Świętokrzyski
Duża Dziurawa Studnia,Region Świętokrzyski
Mała Dziurawa Studnia,Region Świętokrzyski
Grota Świętej Rozalii,Region Świętokrzyski
Schronisko w Zlepieńcach,Region Świętokrzyski
Czarcie Wrota,Region Świętokrzyski
Schronisko Bardzo Niskie,Region Świętokrzyski
Schronisko pod Wodospadem,Region Świętokrzyski
Okap Massalskiego,Region Świętokrzyski
Ślubny Schron,Region Świętokrzyski
Schronisko Lisa w Okopankach,Region Świętokrzyski
Płaska Jama I w Krynkach,Region Świętokrzyski
Płaska Jama II w Krynkach,Region Świętokrzyski
Jaskinia Świętej Barbary,Region Świętokrzyski
Grota Skrzatów,Region Świętokrzyski
Płaska Jama III w Krynkach,Region Świętokrzyski
Schronisko pod Drutami,Region Świętokrzyski
Dziura na Przestrzał,Region Świętokrzyski
Tunelik w Skałkach Adamowskich,Region Świętokrzyski
Schronisko Osobne,Region Świętokrzyski
Jaskinia nad Zalewem,Region Świętokrzyski
Schronisko Gotyckie,Region Świętokrzyski
Okap nad Jamą,Region Świętokrzyski
Schronisko pod Osiedłem,Region Świętokrzyski
Dziurawe Okno,Region Świętokrzyski
Jama Agi,Region Świętokrzyski
Tomkowa Dziura,Region Świętokrzyski
Brama Piekło,Region Świętokrzyski
Duża Grota w Skałkach Dalejowskich,Region Świętokrzyski
Płaska Jama w Skałkach Dalejowskich,Region Świętokrzyski
Wilcza Jama,Region Świętokrzyski
Schronisko z Kością,Region Świętokrzyski
Piwnica Zamkowa,Region Świętokrzyski
Rajska Brama,Region Świętokrzyski
Grzybowa Dziura,Region Świętokrzyski
Schron Traperów,Region Świętokrzyski
Schronisko Sympozjalne,Region Świętokrzyski
Schronisko Wsiowe,Region Świętokrzyski
Jaskinia Wysoka w Podgrodziu,Region Świętokrzyski
Studnia Jaskini Wysokiej,Region Świętokrzyski
Schronisko Trójkątne,Region Świętokrzyski
Jaskinia Babia w Podgrodziu,Region Świętokrzyski
Schronisko Dolne w Podgrodziu,Region Świętokrzyski
Jaskinia za Berberysem,Region Świętokrzyski
Jaskinia pod Gajem,Region Świętokrzyski
Schronisko w Bałtowie,Region Świętokrzyski
Stroma Szczelina,Region Świętokrzyski
Szpara w Łomiku,Region Świętokrzyski
Schronisko w Starej Kamionce,Region Świętokrzyski
Niespodzianka,Region Świętokrzyski
Jaskinia na Ołowiance,Region Świętokrzyski
Jaskinie na Rzepce,Region Świętokrzyski
Duża Dziura II w Jaworzni,Region Świętokrzyski
Schronisko Dujące,Region Świętokrzyski
Jaskinia w Szczukowskich Górkach,Region Świętokrzyski
Jaskinia w Laskowej I,Region Świętokrzyski
Jaskinia w Laskowej II,Region Świętokrzyski
Jaskinia w Laskowej III,Region Świętokrzyski
Jaskinia w Mogiłkach,Region Świętokrzyski
Jaskinia w Jaźwicy,Region Świętokrzyski
Jaskinia Okopcona,Region Świętokrzyski
Jaskinia w Bliżynie,Region Świętokrzyski
Jaskinia w Czarnowie,Region Świętokrzyski
Jaskinia przy Cmentarzu,Region Świętokrzyski
Jaskinie na Kadzielni,Region Świętokrzyski
Jaskinie na Wietrzni,Region Świętokrzyski
Jaskinia Jubileuszowa,Region Świętokrzyski
Jaskinia w Rudkach,Region Świętokrzyski
Jaskinia w Sudole,Region Świętokrzyski
Jaskinia w Budach,Region Świętokrzyski
Schronisko Galenowe,Region Świętokrzyski
Gruzowa Jama,Region Świętokrzyski
Siwiańska Dziura,Tatry
Schronisko w Małym Żlebku,Tatry
Jasiowy Schron,Tatry
Dziura pod Nosalem,Tatry
Schron z Prowokatorem,Tatry
Jaskinia Jaszczurowska Wyżnia,Tatry
Nyża nad Jaworzyńskim Żlebem,Tatry
Grota w Jaworzyńskim Żlebie,Tatry
Jaskinia w Jaworzyńskim Żlebie,Tatry
Schron w Wielkich Koryciskach,Tatry
Dziura w Kończystej Turni,Tatry
Dziura w Kończystej Niżnia,Tatry
Dziura Stanikowa Niżnia,Tatry
Dziura Stanikowa Wyżnia,Tatry
Dziura Niżnia w Kończystej Turni,Tatry
Mała Dziura w Kończystej Turni,Tatry
Koleba za Kończystą,Tatry
Nyża w Kończystej,Tatry
Schron pod Kończystą,Tatry
Okap w Kończystej Turni,Tatry
Dziura w Żlebku,Tatry
Schronisko Dudowe Górne,Tatry
Dziura nad Potokiem,Tatry
Schronik w Kończystej Turni,Tatry
Jaskinia Rybia,Tatry
Dudowa Studnia,Tatry
Jaskinia pod Baranami,Tatry
Szemrzący Schron,Tatry
Ciasna Norka,Tatry
Jaskinia Niska,Tatry
Nyża pod Progiem w Kończystej,Tatry
Schronisko Wschodnie w Kończystej,Tatry
Jaskinia Barłogowa,Tatry
Dziura za Smrekiem w Zawiesistej,Tatry
Szczelina Przysłopczańska,Tatry
Tunel w Jatkach,Tatry
Okno w Jatkach I,Tatry
Okno w Jatkach II,Tatry
Jaskinia w Jatkach,Tatry
Kominek w Jatkach,Tatry
